name_fr,name_en,search_aka,region,category,basis,kcal_per_100,measures,default_measure,local_portion,status,notes
Ndolé,Ndole,ndole ndolé ndolé,Littoral/Sawa,sauce/stew,100g,160.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,bitterleaf groundnut stew with meat/shrimp
Eru,Eru,eru okazi afang waterleaf,Southwest/Centre,sauce/stew,100g,140.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,eru (okazi) leaf with waterleaf and red palm oil
Okok salé,Okok (savoury),okok mfumbwa koko salé savoury,Centre/Beti,sauce/stew,100g,150.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,"okok leaf, savoury preparation with palm oil and meat/fish"
Okok sucré,Okok (sweet),okok mfumbwa koko sucré sweet,Centre/Beti,sauce/stew,100g,175.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,"okok leaf, sweet preparation with groundnut and sugarcane juice"
Kpwem,Kpwem (cassava leaf),kpem kpwem kpem,Centre/Beti,sauce/stew,100g,120.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,young cassava leaves often with groundnut
Sanga,Sanga,sanga,Centre,dish,100g,120.0,gram:1|cup:200|1 plat moyen:250.0,gram,1 plat moyen,estimate — verify,fresh corn with cassava leaves
Njama njama sauté,Sauteed huckleberry (njama njama),njama njama huckleberry huckleberry,Northwest,vegetable,100g,90.0,gram:1|cup:100|handful:30|1 portion:150.0,gram,1 portion,estimate — verify,sauteed with oil and onion
Folong sauté,Sauteed amaranth (folong),folong zom amaranth amaranth/zom,Centre,vegetable,100g,70.0,gram:1|cup:100|handful:30|1 portion:150.0,gram,1 portion,estimate — verify,
Sauce gombo,Okra sauce,gombo okra sauce okra sauce,national,sauce,100g,90.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,
Sauce gombo sec,Dried okra sauce,gombo sec dried okra dried okra,Grand Nord,sauce,100g,110.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,
Sauce follère,Roselle leaf sauce (follère),follere folere roselle roselle leaf sauce,Grand Nord,sauce,100g,100.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,
Sauce arachide,Groundnut sauce (mafé),arachide mafe groundnut peanut mafé/groundnut sauce,national,sauce,100g,190.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,
Sauce tomate,Tomato sauce,tomate tomato stew tomato stew,national,sauce,100g,90.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,includes typical oil
Sauce jaune,Yellow soup (achu soup),achu jaune yellow achu soup,Northwest/West,sauce,100g,150.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,palm oil and limestone base
Nkui,Nkui,nkui,West/Bamileke,sauce,100g,70.0,gram:1|tablespoon:15|cup:240|ladle:150|1 bol:200.0,gram,1 bol,estimate — verify,slippery bark-based sauce low oil
Mbongo tchobi,Mbongo tchobi (black stew),mbongo tchobi black black stew,Littoral/Bassa,sauce/stew,100g,130.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,burnt-spice black sauce with fish
Sauce mbanga,Palm nut soup (mbanga),mbanga palm nut palm nut soup,Southwest,soup,100g,180.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,
Sauce pistache (egusi),Egusi / pistachio soup,egusi pistache pistachio melon pistache sauce,national,sauce/stew,100g,200.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,melon seed rich
Pistache vapeur (ngon),Steamed egusi pudding (ngon),pistache ngon egusi steamed egusi pudding/ngon,Centre,steamed dish,100g,190.0,gram:1|cup:200,gram,1 paquet moyen,estimate — verify,steamed in leaves
Koki (gâteau de haricot),Koki (bean cake),koki bean cake haricot koki beans/gateau haricot,West/national,steamed dish,100g,185.0,gram:1|cup:200,gram,1 paquet moyen,estimate — verify,cowpea pudding with palm oil
Ekwang,Ekwang,ekwang,Southwest/Bakweri,dish,100g,170.0,gram:1|cup:200|1 portion:250.0,gram,1 portion,estimate — verify,grated cocoyam wrapped in leaves
Kwacoco bible,Kwacoco bible,kwacoco kwacoco,Southwest,dish,100g,180.0,gram:1|cup:200|1 paquet:250.0,gram,1 paquet,estimate — verify,grated cocoyam with fish and oil
Kondre,Kondre (plantain stew),kondre plantain,West,plantain stew,100g,130.0,gram:1|cup:200|1 plat moyen:300.0,gram,1 plat moyen,estimate — verify,plantain with meat
Ndomba,Ndomba (fish/meat in leaves),ndomba mintsan fish/meat in leaves,Centre/Littoral,dish,100g,110.0,gram:1|cup:200,gram,1 paquet,estimate — verify,steamed with spices minimal oil
Mbol,Mbol,mbol,Centre/Beti,sauce,100g,120.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,groundnut-free spiced sauce
Pepper soup (pèppè),Pepper soup,pepper soup peppe pèppè soup,national,soup,100g,50.0,gram:1|tablespoon:15|cup:240|ladle:150|1 bol:300.0,gram,1 bol,estimate — verify,light spicy broth
Corn chaff,Corn chaff (corn & beans),corn chaff maïs haricot,Northwest,dish,100g,140.0,gram:1|cup:200|1 plat moyen:300.0,gram,1 plat moyen,estimate — verify,corn and beans with palm oil
Achu (taro pilé),Achu (pounded taro),achu taro taro pilé,Northwest/West,swallow,100g,110.0,gram:1|cup:200|tablespoon:15|1 boule moyenne:250.0,gram,1 boule moyenne,estimate — verify,pounded cocoyam/taro
Water fufu (fufu de manioc),Water fufu (cassava),water fufu manioc cassava fufu de manioc,Southwest/national,swallow,100g,120.0,gram:1|cup:200|tablespoon:15|1 boule moyenne:250.0,gram,1 boule moyenne,estimate — verify,fermented cassava
Fufu de maïs,Corn fufu,corn fufu maïs couscous couscous de maïs,Northwest/West,swallow,100g,110.0,gram:1|cup:200|tablespoon:15|1 boule moyenne:250.0,gram,1 boule moyenne,estimate — verify,
Garri (sec),Garri (dry),garri gari sec dry,national,staple,100g,357.0,gram:1|tablespoon:10|cup:150|1 verre:100.0,gram,1 verre,estimate — verify,dry before soaking
Garri à l'eau,Soaked garri,garri gari soaked eau garri à l'eau,national,staple,100g,100.0,gram:1|tablespoon:10|cup:150|1 bol:300.0,gram,1 bol,estimate — verify,soaked with water
Boule de mil,Millet ball (la boule),boule mil millet sorghum la boule,Grand Nord,swallow,100g,105.0,gram:1|cup:200|tablespoon:15|1 boule moyenne:250.0,gram,1 boule moyenne,estimate — verify,millet or sorghum paste
Riz blanc cuit,White rice (cooked),riz rice blanc white,national,staple,100g,130.0,gram:1|cup:200|tablespoon:15,gram,1 tasse cuite,estimate — verify,
Riz sauté,Fried rice,riz sauté fried rice,national,staple,100g,175.0,gram:1|cup:200|tablespoon:15|1 plat moyen:250.0,gram,1 plat moyen,estimate — verify,fried rice with oil and vegetables
Plantain bouilli,Boiled plantain,plantain bouilli boiled,national,staple,100g,116.0,gram:1|cup:200|tablespoon:15|1 doigt moyen:150.0,gram,1 doigt moyen,estimate — verify,
Plantain mûr frit,Fried ripe plantain,plantain frit fried dodo,national,side,100g,200.0,gram:1|cup:200|1 portion:100.0,gram,1 portion,estimate — verify,
Plantain braisé (bôbolô),Roasted plantain (boli),plantain braisé roasted boli boli,national,street food,100g,125.0,gram:1|cup:200|1 doigt moyen:150.0,gram,1 doigt moyen,estimate — verify,
Macabo bouilli,Boiled cocoyam (macabo),macabo cocoyam bouilli cocoyam,national,staple,100g,112.0,gram:1|cup:200|tablespoon:15|1 morceau moyen:150.0,gram,1 morceau moyen,estimate — verify,
Igname bouillie,Boiled yam,igname yam bouillie yam,national,staple,100g,116.0,gram:1|cup:200|tablespoon:15|1 morceau moyen:150.0,gram,1 morceau moyen,estimate — verify,
